image_file,dataset_namespace,namespaced_identity,modality,resolution,is_corrupt,face_detected,blur_laplacian_var,rms_contrast,aspect_ratio,is_duplicate,qc_status
a-sharukh.jpg,CUFS,CUFS:a-sharukh,Gallery Photo,299x168,False,True,746.78,84.5,1.78,False,PASSED
f-005-01.jpg,CUFS,CUFS:f-005,Gallery Photo,200x250,False,True,254.91,71.56,0.8,False,PASSED
f-006-01.jpg,CUFS,CUFS:f-006,Gallery Photo,200x250,False,True,770.52,69.15,0.8,False,PASSED
f-007-01.jpg,CUFS,CUFS:f-007,Gallery Photo,200x250,False,True,532.98,61.88,0.8,False,PASSED
f-008-01.jpg,CUFS,CUFS:f-008,Gallery Photo,200x250,False,True,475.88,66.67,0.8,False,PASSED
f-009-01.jpg,CUFS,CUFS:f-009,Gallery Photo,200x250,False,True,495.51,73.05,0.8,False,PASSED
f-010-01.jpg,CUFS,CUFS:f0,Gallery Photo,200x250,False,True,434.13,72.95,0.8,False,PASSED
f-011-01.jpg,CUFS,CUFS:f1,Gallery Photo,200x250,False,True,1185.68,65.08,0.8,False,PASSED
f-012-01.jpg,CUFS,CUFS:f2,Gallery Photo,200x250,False,True,828.33,76.45,0.8,False,PASSED
f-013-01.jpg,CUFS,CUFS:f3,Gallery Photo,200x250,False,True,652.28,64.54,0.8,False,PASSED
f-014-01.jpg,CUFS,CUFS:f4,Gallery Photo,200x250,False,True,1025.7,58.6,0.8,False,PASSED
f-015-01.jpg,CUFS,CUFS:f5,Gallery Photo,200x250,False,True,886.07,68.98,0.8,False,PASSED
f-016-01.jpg,CUFS,CUFS:f6,Gallery Photo,200x250,False,True,346.77,48.1,0.8,False,PASSED
f-017-01.jpg,CUFS,CUFS:f7,Gallery Photo,200x250,False,True,817.78,71.17,0.8,False,PASSED
f-018-01.jpg,CUFS,CUFS:f8,Gallery Photo,200x250,False,True,873.69,71.81,0.8,False,PASSED
f-019-01.jpg,CUFS,CUFS:f9,Gallery Photo,200x250,False,True,613.93,68.05,0.8,False,PASSED
f-020-01.jpg,CUFS,CUFS:f-020,Gallery Photo,200x250,False,True,635.65,60.75,0.8,False,PASSED
f-021-01.jpg,CUFS,CUFS:f-021,Gallery Photo,200x250,False,True,500.2,72.2,0.8,False,PASSED
f-022-01.jpg,CUFS,CUFS:f-022,Gallery Photo,200x250,False,True,645.13,66.17,0.8,False,PASSED
f-023-01.jpg,CUFS,CUFS:f-023,Gallery Photo,200x250,False,True,896.44,69.35,0.8,False,PASSED
f-024-01.jpg,CUFS,CUFS:f-024,Gallery Photo,200x250,False,True,773.84,58.89,0.8,False,PASSED
f-025-01.jpg,CUFS,CUFS:f-025,Gallery Photo,200x250,False,True,134.95,59.73,0.8,False,PASSED
f-026-01.jpg,CUFS,CUFS:f-026,Gallery Photo,200x250,False,True,723.45,57.44,0.8,False,PASSED
f-027-01.jpg,CUFS,CUFS:f-027,Gallery Photo,200x250,False,True,683.48,73.32,0.8,False,PASSED
f-028-01.jpg,CUFS,CUFS:f-028,Gallery Photo,200x250,False,True,522.14,60.03,0.8,False,PASSED
f-029-01.jpg,CUFS,CUFS:f-029,Gallery Photo,200x250,False,True,452.66,60.81,0.8,False,PASSED
f-030-01.jpg,CUFS,CUFS:f-030,Gallery Photo,200x250,False,True,306.66,46.39,0.8,False,PASSED
f-031-01.jpg,CUFS,CUFS:f-031,Gallery Photo,200x250,False,True,907.54,45.68,0.8,False,PASSED
f-032-01.jpg,CUFS,CUFS:f-032,Gallery Photo,200x250,False,True,875.8,68.68,0.8,False,PASSED
f-033-01.jpg,CUFS,CUFS:f-033,Gallery Photo,200x250,False,True,579.01,71.15,0.8,False,PASSED
f-034-01.jpg,CUFS,CUFS:f-034,Gallery Photo,200x250,False,True,1178.58,76.13,0.8,False,PASSED
f-035-01.jpg,CUFS,CUFS:f-035,Gallery Photo,200x250,False,True,993.09,76.24,0.8,False,PASSED
f-036-01.jpg,CUFS,CUFS:f-036,Gallery Photo,200x250,False,True,792.65,53.67,0.8,False,PASSED
f-037-01.jpg,CUFS,CUFS:f-037,Gallery Photo,200x250,False,True,722.66,72.61,0.8,False,PASSED
f-038-01.jpg,CUFS,CUFS:f-038,Gallery Photo,200x250,False,True,1309.08,75.88,0.8,False,PASSED
f-039-01.jpg,CUFS,CUFS:f-039,Gallery Photo,200x250,False,True,895.33,73.87,0.8,False,PASSED
f-040-01.jpg,CUFS,CUFS:f-040,Gallery Photo,200x250,False,True,689.12,72.43,0.8,False,PASSED
f-041-01.jpg,CUFS,CUFS:f-041,Gallery Photo,200x250,False,True,887.75,60.12,0.8,False,PASSED
f-042-01.jpg,CUFS,CUFS:f-042,Gallery Photo,200x250,False,True,556.17,50.26,0.8,False,PASSED
f-043-01.jpg,CUFS,CUFS:f-043,Gallery Photo,200x250,False,True,421.16,49.52,0.8,False,PASSED
f1-001-01.jpg,CUFS,CUFS:f1-001,Gallery Photo,200x250,False,True,350.65,65.5,0.8,False,PASSED
f1-002-01.jpg,CUFS,CUFS:f1-002,Gallery Photo,200x250,False,True,373.9,50.17,0.8,False,PASSED
f1-003-01.jpg,CUFS,CUFS:f1-003,Gallery Photo,200x250,False,True,758.43,76.63,0.8,False,PASSED
f1-004-01.jpg,CUFS,CUFS:f1-004,Gallery Photo,200x250,False,True,491.74,71.89,0.8,False,PASSED
f1-005-01.jpg,CUFS,CUFS:f1-005,Gallery Photo,200x250,False,True,890.05,73.1,0.8,False,PASSED
f1-006-01.jpg,CUFS,CUFS:f1-006,Gallery Photo,200x250,False,True,794.13,76.27,0.8,False,PASSED
f1-007-01.jpg,CUFS,CUFS:f1-007,Gallery Photo,200x250,False,True,525.41,55.97,0.8,False,PASSED
f1-008-01.jpg,CUFS,CUFS:f1-008,Gallery Photo,200x250,False,True,758.53,76.87,0.8,False,PASSED
f1-009-01.jpg,CUFS,CUFS:f1-009,Gallery Photo,200x250,False,True,850.39,68.27,0.8,False,PASSED
f1-010-01.jpg,CUFS,CUFS:f10,Gallery Photo,200x250,False,True,643.07,66.38,0.8,False,PASSED
f1-011-01.jpg,CUFS,CUFS:f11,Gallery Photo,200x250,False,True,495.35,67.49,0.8,False,PASSED
f1-012-01.jpg,CUFS,CUFS:f12,Gallery Photo,200x250,False,True,497.44,63.44,0.8,False,PASSED
