query_filename,ground_truth_pid,actual_rank,top1_incorrect_match,top1_incorrect_pid,incorrect_score,failure_category
F2-005-01-sz1.jpg,F2-005,,f-034-01.jpg,f-034,0.5966,HIGH_NOISE_OR_DISTORTION
F2-006-01-sz1.jpg,F2-006,,f-013-01.jpg,f3,0.5912,HIGH_NOISE_OR_DISTORTION
F2-007-01-sz1.jpg,F2-007,,f-018-01.jpg,f8,0.6326,HIGH_NOISE_OR_DISTORTION
F2-008-01-sz1.jpg,F2-008,,f-008-01.jpg,f-008,0.599,HIGH_NOISE_OR_DISTORTION
F2-009-01-sz1.jpg,F2-009,,f-009-01.jpg,f-009,0.5028,HIGH_NOISE_OR_DISTORTION
F2-010-01-sz1.jpg,F20,,f-020-01.jpg,f-020,0.6878,HIGH_NOISE_OR_DISTORTION
F2-011-01-sz1.jpg,F21,,f-037-01.jpg,f-037,0.6349,HIGH_NOISE_OR_DISTORTION
F2-012-01-sz1.jpg,F22,,f-012-01.jpg,f2,0.5459,HIGH_NOISE_OR_DISTORTION
F2-013-01-sz1.jpg,F23,,f-019-01.jpg,f9,0.59,HIGH_NOISE_OR_DISTORTION
F2-014-01-sz1.jpg,F24,,f-019-01.jpg,f9,0.7098,HIGH_NOISE_OR_DISTORTION
F2-015-01-sz1.jpg,F25,,f-015-01.jpg,f5,0.736,HIGH_NOISE_OR_DISTORTION
F2-016-01-sz1.jpg,F26,,f-019-01.jpg,f9,0.6455,HIGH_NOISE_OR_DISTORTION
F2-017-01-sz1.jpg,F27,,f1-008-01.jpg,f1-008,0.5561,HIGH_NOISE_OR_DISTORTION
F2-018-01-sz1.jpg,F28,,f-018-01.jpg,f8,0.6735,HIGH_NOISE_OR_DISTORTION
F2-019-01-sz1.jpg,F29,,f-019-01.jpg,f9,0.7326,HIGH_NOISE_OR_DISTORTION
F2-020-01-sz1.jpg,F2-020,,f-020-01.jpg,f-020,0.6814,HIGH_NOISE_OR_DISTORTION
F2-021-01-sz1.jpg,F2-021,,f-036-01.jpg,f-036,0.609,HIGH_NOISE_OR_DISTORTION
F2-022-01-sz1.jpg,F2-022,,f-022-01.jpg,f-022,0.5875,HIGH_NOISE_OR_DISTORTION
F2-023-01-sz1.jpg,F2-023,,f-013-01.jpg,f3,0.6477,HIGH_NOISE_OR_DISTORTION
F2-024-01-sz1.jpg,F2-024,,f-024-01.jpg,f-024,0.5203,HIGH_NOISE_OR_DISTORTION
F2-025-01-sz1.jpg,F2-025,,f1-013-01.jpg,f13,0.5368,HIGH_NOISE_OR_DISTORTION
F2-026-01-sz1.jpg,F2-026,,f-026-01.jpg,f-026,0.6651,HIGH_NOISE_OR_DISTORTION
F2-027-01-sz1.jpg,F2-027,,f1-008-01.jpg,f1-008,0.4394,HIGH_NOISE_OR_DISTORTION
F2-028-01-sz1.jpg,F2-028,,f-013-01.jpg,f3,0.6462,HIGH_NOISE_OR_DISTORTION
F2-029-01-sz1.jpg,F2-029,,f-029-01.jpg,f-029,0.6272,HIGH_NOISE_OR_DISTORTION
F2-030-01-sz1.jpg,F2-030,,f-030-01.jpg,f-030,0.6156,HIGH_NOISE_OR_DISTORTION
F2-031-01-sz1.jpg,F2-031,,m-066-01.jpg,m-066,0.6964,HIGH_NOISE_OR_DISTORTION
F2-032-01-sz1.jpg,F2-032,,f-035-01.jpg,f-035,0.6408,HIGH_NOISE_OR_DISTORTION
F2-033-01-sz1.jpg,F2-033,,f-020-01.jpg,f-020,0.4938,HIGH_NOISE_OR_DISTORTION
F2-034-01-sz1.jpg,F2-034,,f-034-01.jpg,f-034,0.5221,HIGH_NOISE_OR_DISTORTION
F2-035-01-sz1.jpg,F2-035,,m-087-01.jpg,m-087,0.5911,HIGH_NOISE_OR_DISTORTION
F2-036-01-sz1.jpg,F2-036,,f-015-01.jpg,f5,0.5901,HIGH_NOISE_OR_DISTORTION
F2-037-01-sz1.jpg,F2-037,,f-036-01.jpg,f-036,0.6745,HIGH_NOISE_OR_DISTORTION
F2-038-01-sz1.jpg,F2-038,,f1-013-01.jpg,f13,0.5083,HIGH_NOISE_OR_DISTORTION
M2-008-01-sz1.jpg,M2-008,,m-064-01.jpg,m-064,0.3604,HIGH_NOISE_OR_DISTORTION
M2-009-01-sz1.jpg,M2-009,,m-029-01.jpg,m-029,0.4954,HIGH_NOISE_OR_DISTORTION
M2-010-01-sz1.jpg,M20,,m-010-01.jpg,m0,0.6208,HIGH_NOISE_OR_DISTORTION
M2-011-01-sz1.jpg,M21,,m-018-01.jpg,m8,0.5768,HIGH_NOISE_OR_DISTORTION
M2-012-01-sz1.jpg,M22,,m-027-01.jpg,m-027,0.6054,HIGH_NOISE_OR_DISTORTION
M2-013-01-sz1.jpg,M23,,m-021-01.jpg,m-021,0.5658,HIGH_NOISE_OR_DISTORTION
M2-014-01-sz1.jpg,M24,,m-018-01.jpg,m8,0.5325,HIGH_NOISE_OR_DISTORTION
M2-015-01-sz1.jpg,M25,,m-062-01.jpg,m-062,0.5633,HIGH_NOISE_OR_DISTORTION
M2-016-01-sz1.jpg,M26,,m-016-01.jpg,m6,0.609,HIGH_NOISE_OR_DISTORTION
M2-017-01-sz1.jpg,M27,,m-017-01.jpg,m7,0.6676,HIGH_NOISE_OR_DISTORTION
M2-018-01-sz1.jpg,M28,,f-019-01.jpg,f9,0.5735,HIGH_NOISE_OR_DISTORTION
M2-019-01-sz1.jpg,M29,,m-030-01.jpg,m-030,0.5041,HIGH_NOISE_OR_DISTORTION
M2-021-01-sz1.jpg,M2-021,,m-021-01.jpg,m-021,0.6849,HIGH_NOISE_OR_DISTORTION
M2-022-01-sz1.jpg,M2-022,,f-013-01.jpg,f3,0.5804,HIGH_NOISE_OR_DISTORTION
M2-023-01-sz1.jpg,M2-023,,m-033-01.jpg,m-033,0.5182,HIGH_NOISE_OR_DISTORTION
M2-024-01-sz1.jpg,M2-024,,m-024-01.jpg,m-024,0.4821,HIGH_NOISE_OR_DISTORTION
M2-025-01-sz1.jpg,M2-025,,m-025-01.jpg,m-025,0.6939,HIGH_NOISE_OR_DISTORTION
M2-026-01-sz1.jpg,M2-026,,m-021-01.jpg,m-021,0.6238,HIGH_NOISE_OR_DISTORTION
M2-027-01-sz1.jpg,M2-027,,m-027-01.jpg,m-027,0.6094,HIGH_NOISE_OR_DISTORTION
M2-028-01-sz1.jpg,M2-028,,m-028-01.jpg,m-028,0.6504,HIGH_NOISE_OR_DISTORTION
M2-029-01-sz1.jpg,M2-029,,m-029-01.jpg,m-029,0.7129,HIGH_NOISE_OR_DISTORTION
M2-030-01-sz1.jpg,M2-030,,m-030-01.jpg,m-030,0.5933,HIGH_NOISE_OR_DISTORTION
M2-031-01-sz1.jpg,M2-031,,m-064-01.jpg,m-064,0.6321,HIGH_NOISE_OR_DISTORTION
M2-032-01-sz1.jpg,M2-032,,f-020-01.jpg,f-020,0.4902,HIGH_NOISE_OR_DISTORTION
M2-033-01-sz1.jpg,M2-033,,m-021-01.jpg,m-021,0.5124,HIGH_NOISE_OR_DISTORTION
M2-034-01-sz1.jpg,M2-034,,m-085-01.jpg,m-085,0.571,HIGH_NOISE_OR_DISTORTION
M2-035-01-sz1.jpg,M2-035,,m-035-01.jpg,m-035,0.6302,HIGH_NOISE_OR_DISTORTION
M2-036-01-sz1.jpg,M2-036,,m-036-01.jpg,m-036,0.5953,HIGH_NOISE_OR_DISTORTION
M2-037-01-sz1.jpg,M2-037,,m-087-01.jpg,m-087,0.4573,HIGH_NOISE_OR_DISTORTION
M2-038-01-sz1.jpg,M2-038,,f-035-01.jpg,f-035,0.6441,HIGH_NOISE_OR_DISTORTION
M2-039-01-sz1.jpg,M2-039,,m-018-01.jpg,m8,0.6731,HIGH_NOISE_OR_DISTORTION
M2-040-01-sz1.jpg,M2-040,,m-040-01.jpg,m-040,0.5811,HIGH_NOISE_OR_DISTORTION
M2-041-01-sz1.jpg,M2-041,,m-087-01.jpg,m-087,0.6373,HIGH_NOISE_OR_DISTORTION
M2-042-01-sz1.jpg,M2-042,,m-058-01.jpg,m-058,0.4895,HIGH_NOISE_OR_DISTORTION
M2-043-01-sz1.jpg,M2-043,,m1-005-01.jpg,m1-005,0.4953,HIGH_NOISE_OR_DISTORTION
